alias_id,violation_id,alias_text,alias_type
ND100_2_1_0001_a0,ND100_2_1_0001,"Vi phạm hành chính trong lĩnh vực giao thông đường bộ, đường sắt",canonical
ND100_2_2_a_0002_a0,ND100_2_2_a_0002,Hành vi vi phạm,canonical
ND100_2_3_0003_a0,ND100_2_3_0003,thực hiện hành vi vi phạm hành chính quy định tại Nghị định số 100/2019/NĐ-CP,canonical
ND100_4_1_a_0004_a0,ND100_4_1_a_0004,"Vi phạm hành chính trong lĩnh vực giao thông đường bộ, đường sắt",canonical
ND100_4_1_đ_0005_a0,ND100_4_1_đ_0005,"Vi phạm hành chính trong lĩnh vực giao thông đường bộ, đường sắt",canonical
ND100_4_1_c_0006_a0,ND100_4_1_c_0006,Vi phạm hành chính gây ô nhiễm môi trường,canonical
ND100_4_1_d_0007_a0,ND100_4_1_d_0007,"Vi phạm hành chính trong lĩnh vực giao thông đường bộ, đường sắt",canonical
ND100_4_2_g_0008_a0,ND100_4_2_g_0008,Chở quá số hành khách quy định,canonical
ND100_4_3_u_0009_a0,ND100_4_3_u_0009,Chở khách vượt quá quy định của toa xe,canonical
ND100_5_1_a_0010_a0,ND100_5_1_a_0010,"Không chấp hành hiệu lệnh, chỉ dẫn của biển báo hiệu, vạch kẻ đường, trừ các hành vi vi phạm quy định tại điểm a, điểm d, điểm g, điểm h, điểm i, điểm k khoản 2; điểm a, điểm d, điểm đ, điểm e, điểm k, điểm l, điểm o, điểm r, điểm s khoản 3; điểm b, điểm c, điểm d, điểm đ, điểm i khoản 4; điểm a, điểm c, điểm d, điểm đ, điểm e, điểm g, điểm i khoản 5; điểm a, điểm b khoản 6; điểm a, điểm c khoản 7; điểm a khoản 8 Điều 5 Nghị định số 100/2019/NĐ-CP (Cụ thể: Dừng xe, đỗ xe trên phần đường xe chạy ở đoạn đường ngoài đô thị nơi có lề đường rộng; dừng xe, đỗ xe không sát mép đường phía bên phải theo chiều đi ở nơi đường có lề đường hẹp hoặc không có lề đường; dừng xe, đỗ xe ngược với chiều lưu thông của làn đường; dừng xe, đỗ xe trên dải phân cách cố định ở giữa hai phần đường xe chạy; đỗ xe trên dốc không chèn bánh; mở cửa xe, để cửa xe mở không bảo đảm an toàn;; Quay đầu xe trái quy định trong khu dân cư; Quay đầu xe ở phần đường dành cho người đi bộ qua đường, trên cầu, đầu cầu, ngầm, gầm cầu vượt, trừ trường hợp tổ chức giao thông tại những khu vực này có bố trí nơi quay đầu xe.; Điều khiển xe chạy quá tốc độ quy định từ 05 km/h đến dưới 10 km/h; Dừng xe, đỗ xe tại vị trí: nơi đường bộ giao nhau hoặc trong phạm vi 05 m tính từ mép đường giao nhau; điểm dừng đón, trả khách của xe buýt; trước cổng hoặc trong phạm vi 05 m hai bên cổng trụ sở cơ quan, tổ chức có bố trí đường cho xe ô tô ra vào; nơi phần đường có bề rộng chỉ đủ cho một làn xe; che khuất biển báo hiệu đường bộ; nơi mở dải phân cách giữa;; Quay đầu xe tại nơi đường bộ giao nhau cùng mức với đường sắt; quay đầu xe tại nơi đường hẹp, đường dốc, đoạn đường cong tầm nhìn bị che khuất, nơi có biển báo “Cấm quay đầu xe”; Chạy trong hầm đường bộ không sử dụng đèn chiếu sáng gần; Điều khiển xe chạy dưới tốc độ tối thiểu trên những đoạn đường bộ có quy định tốc độ tối thiểu cho phép.; Đi vào khu vực cấm, đường có biển báo hiệu có nội dung cấm đi vào đối với loại phương tiện đang điều khiển; Điều khiển xe không đủ điều kiện để thu phí theo hình thức điện tử tự động không dừng đi vào làn đường dành riêng thu phí theo hình thức điện tử tự động không dừng tại các trạm thu phí; Dừng xe, đỗ xe, quay đầu xe trái quy định gây ùn tắc giao thông; Lùi xe, quay đầu xe trong hầm đường bộ; dừng xe, đỗ xe, vượt xe trong hầm đường bộ không đúng nơi quy định.; Không chấp hành hiệu lệnh của đèn tín hiệu giao thông; Đi ngược chiều của đường một chiều, đi ngược chiều trên đường có biển “Cấm đi ngược chiều”; Vượt xe trong những trường hợp không được vượt, vượt xe tại đoạn đường có biển báo hiệu có nội dung cấm vượt (đối với loại phương tiện đang điều khiển); không có báo hiệu trước khi vượt; vượt bên phải xe khác trong trường hợp không được phép, trừ trường hợp tại đoạn đường có nhiều làn đường cho xe đi cùng chiều được phân biệt bằng vạch kẻ phân làn đường mà xe chạy trên làn đường bên phải chạy nhanh hơn xe đang chạy trên làn đường bên trái;; Không tuân thủ các quy định khi vào hoặc ra đường cao tốc; điều khiển xe chạy ở làn dừng xe khẩn cấp hoặc phần lề đường của đường cao tốc; chuyển làn đường không đúng nơi cho phép hoặc không có tín hiệu báo trước khi chạy trên đường cao tốc; không tuân thủ quy định về khoảng cách an toàn đối với xe chạy liền trước khi chạy trên đường cao tốc; Điều khiển xe chạy quá tốc độ quy định từ 10 km/h đến 20 km/h.; Điều khiển xe chạy quá tốc độ quy định trên 20 km/h đến 35 km/h; Dừng xe, đỗ xe trên đường cao tốc không đúng nơi quy định; không có báo hiệu để người lái xe khác biết khi buộc phải dừng xe, đỗ xe trên đường cao tốc không đúng nơi quy định; quay đầu xe trên đường cao tốc; Không chú ý quan sát, điều khiển xe chạy quá tốc độ quy định gây tai nạn giao thông; dừng xe, đỗ xe, quay đầu xe, lùi xe, tránh xe, vượt xe, chuyển hướng, chuyển làn đường không đúng quy định gây tai nạn giao thông; không đi đúng phần đường, làn đường, không giữ khoảng cách an toàn giữa hai xe theo quy định gây tai nạn giao thông hoặc đi vào đường có biển báo hiệu có nội dung cấm đi vào đối với loại phương tiện đang điều khiển, đi ngược chiều của đường một chiều, đi ngược chiều trên đường có biển “Cấm đi ngược chiều” gây tai nạn giao thông; Điều khiển xe chạy quá tốc độ quy định trên 35 km/h.; Điều khiển xe đi ngược chiều trên đường cao tốc, trừ các xe ưu tiên đang đi làm nhiệm vụ khẩn cấp theo quy định; lùi xe trên đường cao tốc, trừ các xe ưu tiên đang đi làm nhiệm vụ khẩn cấp theo quy định)",canonical
ND100_5_1_b_0011_a0,ND100_5_1_b_0011,"Chuyển hướng không nhường quyền đi trước cho người đi bộ, xe lăn, xe thô sơ",canonical
ND100_5_1_d_0012_a0,ND100_5_1_d_0012,"Dừng, đỗ xe không có tín hiệu báo",canonical
ND100_5_1_e_0013_a0,ND100_5_1_e_0013,Không gắn biển báo hiệu khi kéo xe hoặc kéo rơ moóc,canonical
